run_name	stage	scope	rank	head	lr	weight_decay	output_dir
000_lin_lr1em3_wd0p05	linear_base	none	none	head_only	1e-3	0.05	C:\Users\hasee\quad_runs\food101_8q8l2f_20260611_002415\000_lin_lr1em3_wd0p05
101_q_ls_r1_h0_lr1em3_wd0p0	quad_dw	last_stage	1	no	1e-3	0.0	C:\Users\hasee\quad_runs\food101_8q8l2f_20260611_002415\101_q_ls_r1_h0_lr1em3_wd0p0
102_q_ls_r2_h0_lr1em3_wd0p0	quad_dw	last_stage	2	no	1e-3	0.0	C:\Users\hasee\quad_runs\food101_8q8l2f_20260611_002415\102_q_ls_r2_h0_lr1em3_wd0p0
103_q_ls_r4_h0_lr1em3_wd0p0	quad_dw	last_stage	4	no	1e-3	0.0	C:\Users\hasee\quad_runs\food101_8q8l2f_20260611_002415\103_q_ls_r4_h0_lr1em3_wd0p0
104_q_ls_r2_h0_lr3em4_wd0p01	quad_dw	last_stage	2	no	3e-4	0.01	C:\Users\hasee\quad_runs\food101_8q8l2f_20260611_002415\104_q_ls_r2_h0_lr3em4_wd0p01
105_q_all_r1_h0_lr3em4_wd0p0	quad_dw	all	1	no	3e-4	0.0	C:\Users\hasee\quad_runs\food101_8q8l2f_20260611_002415\105_q_all_r1_h0_lr3em4_wd0p0
106_q_all_r2_h0_lr3em4_wd0p0	quad_dw	all	2	no	3e-4	0.0	C:\Users\hasee\quad_runs\food101_8q8l2f_20260611_002415\106_q_all_r2_h0_lr3em4_wd0p0
107_q_ls_r2_h1_lr1em4_wd0p0	quad_dw	last_stage	2	yes	1e-4	0.0	C:\Users\hasee\quad_runs\food101_8q8l2f_20260611_002415\107_q_ls_r2_h1_lr1em4_wd0p0
108_q_all_r2_h1_lr1em4_wd0p0	quad_dw	all	2	yes	1e-4	0.0	C:\Users\hasee\quad_runs\food101_8q8l2f_20260611_002415\108_q_all_r2_h1_lr1em4_wd0p0
201_l_ls_r1_h0_lr1em3_wd0p0	lora_dw	last_stage	1	no	1e-3	0.0	C:\Users\hasee\quad_runs\food101_8q8l2f_20260611_002415\201_l_ls_r1_h0_lr1em3_wd0p0
202_l_ls_r2_h0_lr1em3_wd0p0	lora_dw	last_stage	2	no	1e-3	0.0	C:\Users\hasee\quad_runs\food101_8q8l2f_20260611_002415\202_l_ls_r2_h0_lr1em3_wd0p0
203_l_ls_r4_h0_lr1em3_wd0p0	lora_dw	last_stage	4	no	1e-3	0.0	C:\Users\hasee\quad_runs\food101_8q8l2f_20260611_002415\203_l_ls_r4_h0_lr1em3_wd0p0
204_l_ls_r2_h0_lr3em4_wd0p01	lora_dw	last_stage	2	no	3e-4	0.01	C:\Users\hasee\quad_runs\food101_8q8l2f_20260611_002415\204_l_ls_r2_h0_lr3em4_wd0p01
205_l_all_r1_h0_lr3em4_wd0p0	lora_dw	all	1	no	3e-4	0.0	C:\Users\hasee\quad_runs\food101_8q8l2f_20260611_002415\205_l_all_r1_h0_lr3em4_wd0p0
206_l_all_r2_h0_lr3em4_wd0p0	lora_dw	all	2	no	3e-4	0.0	C:\Users\hasee\quad_runs\food101_8q8l2f_20260611_002415\206_l_all_r2_h0_lr3em4_wd0p0
207_l_ls_r2_h1_lr1em4_wd0p0	lora_dw	last_stage	2	yes	1e-4	0.0	C:\Users\hasee\quad_runs\food101_8q8l2f_20260611_002415\207_l_ls_r2_h1_lr1em4_wd0p0
208_l_all_r2_h1_lr1em4_wd0p0	lora_dw	all	2	yes	1e-4	0.0	C:\Users\hasee\quad_runs\food101_8q8l2f_20260611_002415\208_l_all_r2_h1_lr1em4_wd0p0
301_f_lr1em4_wd0p01	full_finetune	all	full	full	1e-4	0.01	C:\Users\hasee\quad_runs\food101_8q8l2f_20260611_002415\301_f_lr1em4_wd0p01
302_f_lr3em5_wd0p05	full_finetune	all	full	full	3e-5	0.05	C:\Users\hasee\quad_runs\food101_8q8l2f_20260611_002415\302_f_lr3em5_wd0p05
